date,1. open,2. high,3. low,4. close,5. volume
2019-07-24 13:34:00,207.815,207.83,207.78,207.79,10137.0
2019-07-24 13:35:00,207.8,207.8037,207.7,207.7133,18747.0
2019-07-24 13:36:00,207.71,207.715,207.662,207.6987,20163.0
2019-07-24 13:37:00,207.6953,207.71,207.66,207.685,17381.0
2019-07-24 13:38:00,207.6702,207.72,207.665,207.69,28330.0
2019-07-24 13:39:00,207.7,207.7295,207.68,207.69,25746.0
2019-07-24 13:40:00,207.69,207.69,207.58,207.5857,63340.0
2019-07-24 13:41:00,207.58,207.5825,207.44,207.46,57862.0
2019-07-24 13:42:00,207.47,207.53,207.47,207.5,16179.0
2019-07-24 13:43:00,207.4934,207.5562,207.4934,207.53,13585.0
2019-07-24 13:44:00,207.52,207.5369,207.49,207.51,15402.0
2019-07-24 13:45:00,207.51,207.5271,207.49,207.52,13378.0
2019-07-24 13:46:00,207.54,207.54,207.49,207.49,15598.0
2019-07-24 13:47:00,207.48,207.49,207.4469,207.482,18015.0
2019-07-24 13:48:00,207.49,207.51,207.48,207.49,18857.0
2019-07-24 13:49:00,207.485,207.54,207.47,207.54,24206.0
2019-07-24 13:50:00,207.5448,207.6211,207.5448,207.6211,21077.0
2019-07-24 13:51:00,207.625,207.64,207.53,207.5467,24556.0
2019-07-24 13:52:00,207.55,207.55,207.5035,207.5035,14696.0
2019-07-24 13:53:00,207.5058,207.55,207.505,207.53,10914.0
2019-07-24 13:54:00,207.54,207.54,207.51,207.5164,9937.0
2019-07-24 13:55:00,207.52,207.52,207.45,207.45,14538.0
2019-07-24 13:56:00,207.44,207.44,207.35,207.3659,41044.0
2019-07-24 13:57:00,207.36,207.3855,207.2816,207.3855,30340.0
2019-07-24 13:58:00,207.38,207.4163,207.36,207.4163,14469.0
2019-07-24 13:59:00,207.4262,207.45,207.41,207.43,21482.0
2019-07-24 14:00:00,207.4338,207.45,207.395,207.4,20074.0
2019-07-24 14:01:00,207.406,207.43,207.35,207.38,45160.0
2019-07-24 14:02:00,207.38,207.5,207.3347,207.475,39568.0
2019-07-24 14:03:00,207.48,207.49,207.45,207.475,18888.0
2019-07-24 14:04:00,207.47,207.485,207.45,207.46,18530.0
2019-07-24 14:05:00,207.47,207.53,207.4325,207.53,17965.0
2019-07-24 14:06:00,207.52,207.5299,207.42,207.49,18145.0
2019-07-24 14:07:00,207.495,207.5031,207.41,207.435,18110.0
2019-07-24 14:08:00,207.43,207.47,207.41,207.45,14721.0
2019-07-24 14:09:00,207.4434,207.4434,207.37,207.42,28451.0
2019-07-24 14:10:00,207.43,207.47,207.42,207.425,11664.0
2019-07-24 14:11:00,207.41,207.4724,207.41,207.47,26372.0
2019-07-24 14:12:00,207.47,207.48,207.301,207.32,24548.0
2019-07-24 14:13:00,207.32,207.32,207.23,207.28,39378.0
2019-07-24 14:14:00,207.2799,207.3,207.23,207.23,18746.0
2019-07-24 14:15:00,207.235,207.25,207.17,207.23,21596.0
2019-07-24 14:16:00,207.2128,207.2363,207.19,207.23,19099.0
2019-07-24 14:17:00,207.2389,207.24,207.1901,207.24,13768.0
2019-07-24 14:18:00,207.23,207.31,207.22,207.2999,18456.0
2019-07-24 14:19:00,207.3005,207.34,207.29,207.295,18180.0
